drugName,review,rating
Etonogestrel,"""i got this implant in september of 2015. the reason that i got it was because i wanted to regulate my hormones better (i had really bad period symptoms) and i am too forgetful to do the pill. i thought it was great at first, recommended it to everyone. now that i'm farther down the line, i hate it. i was pleased that i didn't bleed for almost half a year, but when my periods came back, they came back worse. i now bleed for 3-4 weeks at a time, with 3 weeks in between. it is awful. i also get really bloated and have sensitive breasts, which are symptoms that i never had in the past. this thing definitely prevents pregnancy because every time i am in the position to have sex, i can't because i am bleeding.  i plan on having it removed soon.""",2
Desonide,"""my dermatologist told me to use this right over fluorouracil creme on my lip to relieve any painful symptoms.  he didn't explain that the desonate itself could cause painful side effects, like swelling redness, blisters, scaling, burning sensation, cracking of skin, thinning.  it's water insoluble so it's difficult to wash off once it dries.  this med should be used with extreme caution and stopped immediately once these symptoms appear.""",1
Ethinyl estradiol / norethindrone,"""i was on junel for almost a year. had no problems with it whatsoever. decided to go off of it and experienced severe anxiety/depression and panic attacks for a month. it has now been 4 months and i am still experiencing anxious symptoms daily. plus i have outrageous emotional pms before my period each month..crying spells, deprssion, etc. all of these things i had never had before.""",1
Chantix,"""here is what nicotine does to your brain...
nicotine also can have effects on the parts of the brain that sense pleasure. when nicotine gets into the brain, it is able to stimulate the release of a neurotransmitter called dopamine. dopamine activates some of the neurons in the part of the brain that register pleasure. as a result, nicotine triggers a chemical sensation of pleasure, which causes people to associate tobacco use with a feeling of pleasure.
here is what chantix does to it...
chantix messes with the part of the brain that senses pleasure, looks forward to things, has hope for tomorrow.  it takes that all away. i took chantix and the effects were catastrophic.  needed three meds to counter it.  stay away!""",1
Tioconazole,"""it's been an hour since i inserted the cream and yes there is burning and irritation but it's just the medicine doing it's job. i'm assuming it will also leave me raw but i figured that would happen when you use a high dose of cream in a sensitive place. i don't recommend doing the treatment at night however because i don't think i would be able to sleep. some minutes are worse then others but of you think about the positives of one day in discomfort to treat the infection vs a week or more not treating it, it's gotta make it worth it. if you can't handle pain or jut the yi in general i don't recommend this for you. if you got through a week of more of a yi i believe you can get through this too""",10
Avastin,"""35 year old female. tumor in chest wall with cancerous nodes on lung wall. treatment schedule was so easy. once every 3 weeks. i felt great. no side effects. never sick. no hair loss. worked fulltime throughout. taken with xeloda. unfortunately my cancer is more aggressive than the treatment. it only slowed the progression. not a cure for me but definitely give it a try. loved it! would have given it a 10 if it worked.""",9
Cymbalta,"""i've been taking cymbalta for depression for two and a half years. my doctor titrated me up to 120mg. i was at 120mg for over two and a half years and almost constantly i was severely depressed, severe anxiety, some paranoia, no energy, over reaction, self harm, extreme anger, just to name a few. that's not to say i do have some of those problems normally, but not as severe or as constant. so cymbalta was overlooked as a cause to my worsening issues. two weeks ago i was admitted into an inpatient hospital to basically save my life. while i was in there i was abruptly taken off, then titrated up to 60mg. i'm a totally different person now. i did a complete 180°. i can't believe what a difference it makes being on the right dose.""",5
Canasa,"""very helpful.
because it is so expensive, i would wait until it became really bad... thinking ""oh it'll get better"". but i will share a trick i do. not dr. approved.
i use it full strength for 6 days (when i see real results... do not stop treatment). then i cut a 1/4 off of the small end of each, and collect them in a sandwich bag. then i shake them to the bottom of the bag, let the bottom of the bag sit in warm water until i can roll a length/roll (while still in the baggy). let it cool then cut into sections for more suppositories... to extend my treatment or for emergencies. i also eat the same foods most every day. avacadoes, white rice, soft scrambled eggs, bananas w/ p-butter, squash, oysters, refriedbeans, asparagus & can spinich""",9
Etonogestrel,"""what a nightmare. i have had bleeding nearly non stop since insertion 2 years ago. give it time for your body to adjust after 6 months i was told. then give it a year. finally had a gynecologist agree to remove it. it has been effective as birth control considering i have only had a handful of weeks out of two years i have not been bleeding. and i'm not talking spotting i'm talking period like bleeding with cramps. i wouldn't recommend this to anyone and don't even know why it's been approved.""",1
Moxifloxacin,"""i just finished taking this after a 6 day period for pneumonia. it was all fine, except for the restless leg syndrome at night, but that i could handle with an iron pill. the last day i took it i woke up in the middle of the night with severe itching, i took a shower, changed my bed sheets, used lotion and topical creams. i took 2 benadryl and nothing worked!

the only good thing, is my symptoms dissipated after a couple of days!""",4
Adderall,"""i have been taking it for several years.  there was a time about a year ago when all the pharmacies could not get any and i went about a month without.  being a service advisor, i deal with a lot of numbers (vin, license plates, etc.). after a few days without, i started reversing a lot of the numbers.  i would see the correct order but would say out loud or write down a reversed version. i had to go slower and double check what i had written.  a positive side effect is it gets me off the couch on the day(s) i have off and motivates me to get stuff done around the house that needs to be done. it kept me up at night at first, but after awhile, i learned not to take it too late in the day. i would recommend it to anyone who has adhd. """,10
Strattera,"""while taking strattera it didn't really help with my adhd but it did cause unwanted nausea and once i reached my target 80mg dose i began to get extremely hot then started to sweat a lot and finally threw up the strattera.""",1
Duloxetine,"""have been on cymbalta for 4 days.. my pain was severe--doctor put me on methotraxate and cymbalta, and ultram. i feel fairly good today...the pain in my arms went from a 10 to a 3. i will continue it for 8 days, then i see dr. again. so, maybe this one will work. i also have the itchy body and a little dizzy, no sickness today.""",5
Minoxidil,"""i have been using minoxidil from almost 4 years but not regularly i mean for 4 month i used minoxidil then i took a month break because it seemed useless but later i found that it may work after 3-4 months of usage. i have been on finisteride also but the side effect of finisteride which is erectile dysfunction and chances of impotency too though its chances are not too high but still i love children more than my hair so now again i started using minoxidil alone, now it have been a month that i started minoxidil again and i will test it but review from my cousins was very positive, though my finger crossed, i wish it will be helpful. by the way hair concern women more than men. please if someone can assure me that yup it's work kindly do so""",6
Microgestin 1 / 20,"""i've been on this pill for a year to treat pcos. my periods were very irregular and i experienced spotting and a low sex drive for first three months after starting. then i was having normal 3-4 day periods every other month.  i also had trouble with nausea and an upset stomach but it subsided after a week or so. i continued to workout and eat somewhat healthy and i was still able to lose weight. my only complaint was that after starting the pill, my skin got very sensitive to the chlorine in the pool.""",9
Hypercare,"""i am a 17 y/o boy and have suffered from sweaty armpits for 11 months now. my doctor prescribed me hypercare and i cannot say it worked as well for me as it did everyone else. for starters, i could not for the life of me get the bottle to work. it has a poorly designed top/dispenser and had to resort to dipping it on cotton balls and then applying. when i did use it, the first night was no biggy. but the second night i applied it, about 10 minutes into bed, my armpits became extremely itchy, enough to the point where i scratched and scratched and said enough and wiped off the solution with a towel. i have never been able to use it more than one night in a row. i couldn't even apply deodorant the following day due to the itching.""",4
Effexor,"""so this drug really helped with my depression but it also has some bad side effects. please please please never skip a dose of this stuff. you will feel like absolute trash. as long as i take it every 24 hours it works perfectly for both my anxiety and depression but if i miss a dose, the side effects are awful. my whole body feels like white noise, my limbs buzz, i'm dizzy and nauseous, and can barely concentrate. also, i don't know everyone else's experience with the medicine, but i used to be on the 150 mg dose and let me tell you. i couldn't orgasm no matter how much i wanted to and it sucked. i know it was the medicines fault cause when i lowered my dose to 75 mg i could orgasm again. the medicine ridiculously lowers my libido.""",7
Levonorgestrel,"""update: 2 weeks in with skyla, after a week of being on skyla i stopped taking my pills (as told by doctor since skyla isn't effective until 7 days after insertion) and started bleeding, more than a panty liner but not enough to fill a regular tampon, it's been like this for a week now and i'm annoyed, i can't tell if this is when my period is now or what? idk, not happy, i wanna have sex with my boyfriend but i can't because i'm bleeding!! ugh!!""",5
Lamictal,"""so lamictal takes a while to work...in my case it was about 6 months to reach is maximum effect.i am on 200 mg. if i go higher it is a total nightmare. be careful it depends on the person how much you can take. if you feel you are going more depressed go to the dose you were before and take clonazepan as needed but not everyday. lamictal affected my sleep i had to take ambien but after 6 months i started taking melatonin and it worked. i wanted to say that it is important is family support and when that is non existent then in my case, i grabbed a bible and prayed a lot even until today. psalm 91 and ephesians 6:10, also psalm 23. it gets in a point when you have to fight your brain. doctors and medication helps until certain point.""",8
Atorvastatin,"""felt i was having a heart attack but without the chest pain. every muscle in my body seemed to go into rigidity and i could not move. heavy sweating. severe pain in muscles and joints. difficulty breathing that turned into wheezing and gasping for breath. panic. dizziness.

this was my third dose of medication.""",1
Ethinyl estradiol / etonogestrel,"""i was on the pill before nuva ring and the pill made me moody and cry a lot. i'm definitely not one to be emotional. so i tried nuva ring now 8 months later i still love it. i really like that i can put it in and forget it for a month. i can skip periods if i want. although i've found i can 2 months without a period but then i have to do the period thing so i don't get breakthrough bleeding. i'm also very much in control if i decided one day i didn't want it anymore i'd just take it out. i haven't had any weight gain. when i do get my period it's short and light. the only con i had was i lost sex drive for about 5 months.  it's returned though so i'm happy. everyone is different but i'd highly suggest giving nuva ring a try!""",8
Ortho Micronor,"""i have been taking this birth control for about 7 months now.  overall it is a very.  it took me about a month to get used to it and i had 4 or 5 months after that, that were excellent.  some people would get spotting when they were even a half hour late taking this, i had no problem whatsoever when i'd take it late.  in the last couple of months, however, i have been having a period every 2 weeks.  sometimes the second one would be more spotting than bleeding, but still very annoying.  also, i have gone up 2 cups sizes since taking this medication.  no real noticeable weight gain otherwise, just much larger breasts! """,8
Implanon,"""i have had it for 3 years now since december of 2009 it has worked perfect for me .. less periods to none and i do have mood swings. but other than that it has worked awesomely.""",9
Liraglutide,"""i have been on saxenda for just over 3 weeks and i have lost roughly 13lbs. i had some nausea with the first 2 doses but have been fine since. only downside i will say is constipation. my ""normal"" cycle was never normal persay but it's been so much worse on this medication. it won't stop me from taking the medication though. i just have to figure out a way to get it under control. i have absolutely no appetite which is good and bad. good because i won't overeat but bad because i don't eat and when i try to eat anything i feel nauseous. either way though, i'm happy with the medication.""",8
Nexplanon,"""i've had this birth control since february 26th. it didn't hurt to get it put in, as long as it's taken care of the right away afterward you should be perfectly fine. honestly, it was sore just as it should be, but i didn't notice it after it healed. it does ache sometimes now. in february after i got the implant i bled for about a week but it was very light. since then i have not had a period. i haven't gained weight or lost my hair. i do break out a little more often and i'm very tired more often than i used to be. but i highly recommend it even past these side effects.""",8
Metoprolol,"""i have been on this blood pressure medicine now for almost two months. i seem to be doing well and another thing that i noticed my psoriasis has cleared up. i don't know if the metoprolol has anything to do with it. if so, then keep me on it.  i have suffered with psoriasis for five years straight.""",7
Copper,"""i wanted to write a review because so many people have skewed the idea of this insertion process and how miserable it is. its not miserable, you won't pass out, and its super effective. i went to planned parenthood in nc and got this inserted on 5/4 and the process took less that ten minutes. they explain before you get it inserted its side effects/ possible complications. weigh them out, is it worth it? the process consists of feeling how far back the cervix is, and then dilating it (feels like a pinch) and holding it open (pressure) and then bam he/she puts it in and you're done. you'll experience spotting, no vag insertions for 3 days but if you're like me and hormones ruin how you feel, the 10 minutes of uncomfortably is worth it.""",9
Gabapentin,"""i have a herniated disc at c6 and a pinched nerve that shoots pain down my left arm. i started taking neurontin 300 mg once a day for a week, then two a day the 2nd week, and now 3 a day. i'm a local truck driver, so reading your reviews had me worried. when i started this medicine, my doc also started me on robaxin. everything was okay until the 2nd week. i got the high feeling for about that whole day. then the third week, same thing. i stopped taking the robaxin cause it leaves me groggy and unfocused. i have almost no pain in my arm after 3 weeks on neurontin, even after i stopped taking the robaxin. this medicine is awesome. i had doubts about its effectiveness until reading your comments. thank you everyone. it doesn't affect my driving ability after i stopped the robaxin.""",9
Citalopram,"""this medication (at 20mg) has given me my life back. i used to dread work and constantly worried, felt mentally drained etc. i was impulsive and my temper started getting short. now i feel like i am my old young self.""",10
Vyvanse,"""i am 19 and was diagnosed with adhd when i was in elementary school. i have had my fair share of add/adhd drugs that i have liked or disliked. for years i had been taking concerta but i felt like it didn't do much for me. my grades started slipping during my sophmore year in high school and i decided that enough was enough. so i did some research and started reading about vyvanse. my doctor didn't know much about it because it is a fairly new drug. i started taking 50mg of vyvanse when i was 18 and have seen nothing but positive effects. i went from a 3.0 to a 4.1 gpa. it only lasts for about 5-6 hours so my doctor perscribed 5mg of adderall to take. i have loads of studying to do. this drug is simply wonderful. the reviews are helpful.""",10
Imiquimod,"""i'm fighting hpv for a year and half now
aldara works
but it takes long time
be patient 
it might burn you some times
make sure the area is clean and dry
avoid using tea tree oil or acv while on aldara therapy""",7
Loestrin 24 Fe,"""so i started this pill and was excited but had to stop right in the middle of the pack.  i mean out of nowhere, there is a burst of bleeding.  i went to the bathroom and it's like my period snuck up on me and it was almost 2 weeks before my period is due.  there was lots of clots and brown yucky stuff.  on top of all that my moods were really crazy. i would be lying in my bed and would feel like crying and then be okay the next moment.  i have only been off now for two days cause i just couldn't take the crazy mood swings and the bleeding anymore.  i also noticed a great deal of fatigue and even that has changed even after just 2 days off of loestrin. it's not worth it and i cannot wait for it to be out of my system.""",3
Duloxetine,"""started on 30mg for about 3 months, not much help.  upped to 60mg, no help. now on 90mg for one month and my depression is even worse that it was. i slipped into a major down a few days ago, one of the worst i've had in years and have yet to bounce back from it. i have had mild brain zaps here and there since going to 90mg.  anyway, i am guessing my psychiatrist will try something different.  i have tried lexapro (helped me for many years, then seemed to stop working). wellbutrin (made me very irritable), and pristiq (did nothing except lower my libido and give me a little bit of energy).""",2
Ethinyl estradiol / etonogestrel,"""i originally came on to this site to look for facts on implanon, because i am thinking of switching from nuvaring to implanon. out of the many comments, only a few were good. there were many many negative comments and it made me wonder if the majority of people who choose to comment, do so because they are experiencing negative side-effects, and those women who aren't experiencing side-effects don't leave any comments at all. so i'm going to go ahead and add a good comment about nuvaring. nuvaring has worked out great for me. no side-effects that i have noticed. no weight gain, no mood swings, no acne. the only thing is that i can feel it during sex, which is an easy fix to just take it out before and put it back in afterward.""",9
Chantix,"""i found this very helpful to help me quit smoking. i have had some strange dreams and my kidney function may have been affected. i'm not sure if that is related to the drug yet. i've been taking it for about 5 months and will be tapering the dose now that i'm comfortable with being a non-smoker. i would suggest that people have baseline kidney function tests prior to starting.""",9
Compazine,"""i was given this for nausea that could not be helped with zofran. i take it on a as needed bases or when the zofran won't work. i have a lot of stomach issues and i can say this stuff definitely helps. it does make me a little sleep but i'll take that any day over feeling sick and throwing up. the down side is the restless side effect. i feel like i have to keep moving unless i somehow manage to fall asleep. then i am knocked out. sometimes i take valium or benadryl to combat the feeling. but that leaves me groggy and unable to function""",7
Zenatane,"""i started getting acne as soon as i hit puberty(age 12, 6th grade). my acne continued to get worse all throughout middle school. i went to see a dermatologist and he prescribed me many prescriptions that would work for a little while but acne would come right back. fast forward to age 23 i have the same derm since i was 12. he prescribed me accutane as a last resort. although i did not like it for the 6 months i was on it b/c of the dryness it caused, i love that my skin has finally been acne free/blemish free. i stopped taking accutane in jan 2017. i'm just hoping i don't have to go through that acne stage that i had in middle school ever again.  cons is that i still have dryness/eczema on hands kinda hard to get rid of that :/""",9
Etonogestrel,"""i had implanon inserted in may 2010 and i have been very happy with it. before implanon i had been using depo provera for nearly 10 years and loved it--no side effects, very easy, and no periods for the last 10 years or so, however with depo i was at the point of osteoporosis at the age of 28, so my doctor recommended that i stop depo. i wanted to find a birth control as similar as possible to the depo, have no weight gain, and would continue to not have periods. so far everything has been great, and hopefully it will continue to work well.""",10
Hydroxychloroquine,"""i was diagnosed with ra in 2013. the pain was so excruciating i realized i was dealing with a monster. i wish i could say this drug has done wonders. quite the opposite. the ra drugs make me physically sick. after methotrexate and humira and the lung infection that nearly killed me, i realize these drugs have serious side effects. plaquenil. does absolutely nothing for me. makes me irrational and depressed and unable to lose weight. guess its back to biologics. rheumatologist is pulling out the big guns. orencia infusions four hours in duration. read orencia infusion reviews which were horrific. but at this point in time podiatrist says i will be in a wheelchair by the time i am 60. turn off my immune system or wheelchair...hmm.""",1
Clomid,"""i have pcos. we tried to conceive for 6 years before we went on clomid i got pregnant on the 3rd month. she is 4, now we are trying again but this time seems harder. we have been on clomid for over a year. i conceived but miscarried conjoined twins at 11 weeks. my doctor says we can try again in 3 months so back on the clomid i go.""",10
Pentasa,"""i had crohn's with a resection 30 years ago and have been mostly in remission since.  have recently had a bad flare and narrowing at the anastomosis and need to be on medication, but haven't found one that i can handle.  asacol gave me such serious body aching and fatigue that i could not function.  pentasa immediately gave me heart palpitations and arrhythmias so i had to discontinue it.""",4
Clonazepam,"""klonopin is the only medication that works for my insomnia.  i've been on pretty much every medicine for insomnia at one point or another.  i have ocd and the reason i can't sleep is because the obsessive thoughts won't stop ruminating in my head.  when i take klonopin, the thoughts are no longer intrusive.""",10
Levonorgestrel,"""had unprotected sex sunday morning and got/took the pill the next day. felt perfectly fine that day but everyday up until today i have been cramping and my breasts have been super tender, but i knew it was normal since it was stated as one of the side effects. but i didn't know it was going to make me get my period so early. i'm supposed to get it two weeks from now but got it today. i'm glad i did because now i have some closure knowing that it worked!""",9
Pristiq,"""i've been on this medicine for about  two years and my experience has been positive. i feel happier, more comfortable in my skin, less irritable, mentally sharper than i've ever been. it's been very effective!  the only downsides have been sex drive and some inconsistency in it's effects.  sometimes i feel as though the potency of the medicine can vary month to month. 
last year i tried to slowly come off of it over a two month period. unfortunately, all the symptoms started coming back. it was a reminder of how hard life was before this medicine. i wish all of you the best.""",9
Bupropion / naltrexone,"""this is an update to my previous review. i have now been on contrave for three months, and in that time i have lost 35 lbs (goal is 130 lbs total). the first two weeks were horrible, then the side effects subsided. when i consciously watch my diet, i lose very steadily. even if i don't, i usually lose 2 lbs a week. my life before contrave was constantly thinking about food, snacking, and looking for the next ""fix."" now i get hungry, but not famished. i can eat when i am hungry and rely on my body to give me cues- before, that was a foreign concept to me. for once, i feel like i am in control and that i can see this through to the end, and get to a healthy weight, which i have never been able to do. if you are obese, consider it.""",10
Sotalol,"""was prescribed this for atrial fibrillation. after one dose, i experienced: light-headedness, nausea, dizziness, chest pain, fast heart rate, high blood pressure, severe depression, slightly blurred vision, fatigue, anxiety, heart missing a beat often.  at the time of writing, it's three days after my one does (i stopped it immediately) and am still encountering some of the above side-effects.  i am on no other medications, nor have i been.""",1
Phentermine / topiramate,"""qsymia is awesome i lost like 50 pounds on it without dieting or exercising but i did realize that it was not a good idea to not exercise because when i did stop taking qsymia i had extra skin that i didn't tighten from where i lost weight and it was sagging. so now i have to figure out how to tighten my tummy. now i am back to square one since i quit taking it due to change in insurance....... so i have gained more weight now but qsymia is an awesome diet capsule and it does work........""",10
Terbinafine,"""used it for almost 3 months. developed muscle pain and doctor pulled me off. other than that toes look great after just three months. i spent 35 years treating it myself with no significant results. by summer the wife wants me to wear sandals, something i haven't done since i was 17. big toes are about 75% back others are about 90%. looking forward to barefoot beach walks.""",8
Alprazolam,"""very good for panic attacks and relief of anxiety. no known problems while on xanax. however cutting down the dosage or frequency of use can cause increased anxiety, and so it can cause dependency. i have no prblems with xanax, just problems when i don't have it.""",10
Adderall,"""side effects: dry mouth, anxiety (if used when tired), euphoria, hyperfocus (when dose too high)

adderall allows me to concentrate and study for a reasonable amount of time while also offering flexibility on when i use it; both xr and short-release are quick in-and-out drugs, unlike ssris. my performance improved dramatically with use of adderall, but there were definitely a few cons.

hyperfocus is a huge problem that alluded me for a few months. because adderall affects the brain, it distorts the user's reality. i felt that i was getting a lot done, and it wasn't until my colleagues at work told me that i was garbage at multitasking that i realized my dose was too high. beware of this. focus =/= productivity""",8
Tretinoin,"""i was blessed with good clear skin through puberty until almost hitting 30. crazy acne breakouts over both jawline with big cystic pimples. headed to derm and was recommended 0.05%. 2weeks into using it,  went through hell-ish period as i was told 'deep hidden pimples' started popping one by one - big and red. encountered sensitive red skin with minimal peeling. but by 3rd week all starts clearing off. into my 2nd month now and still using it. using this cream daily before sleep. cleansed daily with vit-a cleanser and topped it off with moisturiser and aha in both day & night time. never forget to sunscreen. key word - patience!""",10
Horizant,"""this drug is a little strange, because the 600 mg of this is technically ""more"" than 600 mg of neurontin (gabapentin) . also, the medicine starts to be peaks much later than neurontin (see horizant pharmacokinetics). so, it can be complicated to figure out when to take it.  when i take it closer to bed, it seems to work better. however, the instructions which say to take it 6 hours before bed. i noticed a slight improvement over gabapentin (less awakening), but it's not consistent. 

also, this drug company is a mess.  my doctor's office staff has been calling for the advertised co-pay discount card since thanksgiving 2014.  it is now may 2015 and he finally got them from the rep (you cannot print them out online)""",6
Ethinyl estradiol / etonogestrel,"""i started using this product when i became serious with my boyfriend. i'm very scatterbrained so using it has been amazing in regards to never worrying about missing a pill. i can just leave it in and not worry. after being on it for only 3 months, i noticed an extreme weight gain, loss of sex drive, virtually no vaginal fluid, breast tenderness, anxiety, and severe mood swings. but i stayed on it, hoping it would pass. it hasn't. 2 years later, i'm only on it for convenience. i'm switching this week.""",3
Biaxin,"""my 11 year old daughter has sinusitis and the biaxin has quickly helped her feel better, but she vomited once on the 3rd day and again on the 4th day, both in the morning.  not sure if it's the biaxin, the dripping from her sinuses, or the combination.  the doctor didn't seem too concerned unless it persists.  """,6
Benicar,"""benicar has been a ""wonder"" drug for me. it is the only bp medication that my body will tolerate. i have been on this drug for 10 years. not only has it stabilized my bp (the original reason it was prescribed for me) but i have ceased having migraine headaches. i haven't even had any regular headaches since i began taking benicar.""",10
Chateal,"""as far as its intended use (birth control), it seems to be doing its job, however it did come with some side effects. i haven't experienced any acne or weight issues but my mood / attitude has been out of control. i'm a very level headed, stoic type of person but my emotions have been all over the board from crying for no good reason to outbursts of rage at the tiniest inconvenience.

the one positive side effect i have experienced is extremely short, almost non-existent periods. but honestly, i'd rather have a week long wwiii period if it means keeping my sanity. i plan to switch as soon as possible.""",6
Sertraline,"""day 4 if taking a small dosage (prescribed 50mg but from past experience with medication i decided to quarter the tablets to ease into the side effects). first day i got heartburn for a few hours and slight tingles in my face and hands, nothing major. day two was fine. day three i had some diarrhoea which settled after a few hours. day four (today) i feel terrible, i have diarrhoea, stomach cramps, nausea, headache & muscle aches. i feel like a big bag of urgh. i’m on such a tiny dose i don’t know whether to keep going or stop. my panic disorder stems from a fear of being sick so i’m thinking of just stopping unless this settles and i feel brave enough tomorrow to go through the same thing""",3
Vortioxetine,"""beyond awful! this medication led to extreme muscle tension, physical pain, tossing and turning at night, blood shot eyes all day long, and overall feeling like i  did a decade ago during my second wind after having been up for 72 hours while stranded at an airport.""",1
Xarelto,"""apparently helps my a-fib, but causes bad bruising and bleeding from minor wounds.  i also have bad heart burn and take antacid frequently. this happens while i'm eating, after, and also when my stomach is empty. a friend who tried xarelto had the same problem, which makes me think it's from the medicine, or at least it made it worse. this causes me lots of pain and discomfort, but i don't know if another blood thinner would be the same.""",7
Isotretinoin,"""i recommend a lower dose of 40 mg if your acne is not that bad.  i started out at 20 mg the first month, then 30 mg the second month, and 40 mg for months 3-6.  i never had any nose bleeds.  i was tired some times, joint pain, stiffness of hips, forgetfulness (for example forgetting that i just took a shower and realizing my hair was wet and i didn't need to take one), possible depression although i was bit irate at times before the taking the med.   i did have a couple bad nightmares. i had chapped lips through like the whole time taking it.  i had the bad habit of biting the skin off my lips..
the positive was no acne not too long after taking it.. although it did flare up a bit about a couple weeks in after taking it.  hair not oily. :)""",9
Ethinyl estradiol / norethindrone,"""do not go near this pill...gave it a few months to kick in per my gyno and i have no idea how she prescribed this horrible medication. i took it to regulate my period and now instead of one, i get two a month every two weeks or actually whenever it feels like coming. it has made me extremely emotional, sad, and easily angered by things that are normally nothing. i also got crazy hungry more than the typical pms'ing days before. i can't stress enough to stay away from this.""",1
Amitriptyline,"""i had daily migraines for several years. i have been prescribed many different preventatives but was taking 50mg of imitrex and 4 tylenol #3 a day for pain relief.
since my neurologist started me on elavil at 25 mg and finally building up to 50 mg a night (2 months ago) i have only used 2 imitrex and no more tylenol with codeine. this is truly miraculous! the only down side is a 10 lb weight gain. i eat a pretty restricted diet to begin with (no butter or fats, lean meats/fish and no sweets or snack foods). i am trying to further reduce my caloric intake to stop the weight gain. anyway, i would rather be a little chubby and almost pain free.""",9
Ethinyl estradiol / levonorgestrel,"""i've been on alesse now for about 5 years and i'm going to switch pills. it's never helped with my acne nor my period pain and it's made me extremely irritable and very very moody and depressed. i went off it for a year and it i was instantly happier and my skin wasn't as bad and i had regular period pain. as far as being a contraceptive it's worked so far *knock* *knock* i would not recommend this if you are sensitive to medication.""",3
ProAir RespiClick,"""i was given this to help with bronchiospasms due to illness.  after two months of this not working,  i got a refill.  the second one worked.  the first one did not.  i called 1-888-482-9522.  this is their complaint line.  they requested to send me a fed ex package so i could return.  i requested a refund for there is still  11 doses on the clicker.  they don't give refunds.""",1
Duloxetine,"""i took cymbalta for depression, anxiety, and for severe fibromyalgia symtoms.

the extreme mood swings, depression, constant thoughts of suicide, symtoms that mimicked my already existing fibromyalgia symptoms and unfortunately made them worse.

sleepless nights-even days at a time, drowsiness, complete change in my personality.

when i started a physician observed decrease with intention to quit cymbalta altogether, i tried killing myself multiple time, shakes, tremors, skin crawling, brain and body ""zaps"", nausea vomiting diarrhea mood swings hospitalization.

don't, just don't take it. there are other drugs and cbt therapies that are tried and true. whose long term side effects are well understood and documented. almost ruined me.""",1
Lialda,"""lialda has given me a decent quality of life again. i've suffered relentlessly for 20 years and finally found a great doctor, who gave me this medication. it's not an overnight fix. i've been taking it for 3 months and it has fixed what i thought was permanently my lot in life. what a fantastic medication !""",10
Metoprolol,"""i am a 28 year old healthy female. i was diagnosed with supraventricular tachycardia just recently and was put on toprol xl 25 mg. i have only had a few minor attacks since being on this medication however i have side effects - constantly exhausted and don't feel like myself and i have a heavy feeling in my chest which is extremely uncomfortable.  side effects have not subsided much since i started the medication 5 weeks ago. the side effects are bad enough to where i'm tempted to stop taking it and take my chances with the svt! my doctor is recommending ablation procedure in hopes of that solving my problem and get me off the medication.""",4
Citalopram,"""i've only been on celexa for 5 days. i understand that this will not be an entirely accurate review of the medicine, because it takes about 4 weeks to get the full effect, but my experience is worth sharing for those just starting.

reason for being prescribed:
-anxiety associated with emotional stress
-depression (seasonal)
-inability to sleep due to anxiety
-panic attacks (only about 5 in a 2 month period)

days 1-2: 10 mg - felt awful. i felt anxious, foggy-headed, weird...
day 3: i was quiet, but full of energy. some trouble sleeping (woke up in the middle of the night)
day 4: tired because i didn't sleep well that night. midday exhaustion. somewhat antisocial. still ""myself"" though.
day 5: general good mood, positive. productive.  """,7
Xenical,"""i have only been on this medication for 2 months now in my first weigh in i lost 6lb 6oz and my second weigh in i lost the same again, overall 12lb 12oz just 2lb short of a stone couldn't believe i've lost weight so quick when i could never lose weight on my own, i've not exercised on these tablets and have just ate normal which is naughty of me, i started off at 21 stone and i'm now at 20 got a long way to go as my goal is back to 8 stone from what i was originally if i keep this up tho and eat healthily and exercise more i'll be slim before i know it and i'll be happy again""",10
Saxenda,"""i began taking saxenda on 11/3/15 weighing in at 252 lbs....today i weigh 227 lbs!!  25 lbs in a little over 3 months!!  i am excited.  i know that is only about 8 lbs a month but that is good...i have always heard that you need to take it slow. i have tried every diet/weight loss program that you can imagine and nothing has ever worked for me.  i am 43 years old and i was tired of my quality of life being so miserable. i however have it a plateau, i haven't lost anything in the past 2 weeks.  i plan to start doing some cardio to hopefully increase the weight loss.  any suggestions would be helpful!!  since i began taking this med, both of my daughters and one of my son-in-laws have reverted to using this as their daily life style as well.""",10
Miconazole,"""i've used this medicine in the past and had no problems. today i bought the miconazole 3 and i used it about 10 minutes ago. at first i had some pretty bad itching and i thought i was having an allergic reaction so i tried to push some out and just deal with the rest. it definitely helps a lot if you do not itch it. also if you have a yeast infection do not itch and it will feel 10x better. now it is still slightly itchy but not unbearable. i think the skin being raw from itching has a lot to do with the burning and itching. they must have changed something, hopefully this makes it more effective.""",5
Prevpac,"""i had acute gastritis and went to er to get iv fluids. while there, they ran a test for h. pylori and it was positive. my only symptoms prior to the er visit was frequent heartburn. i was given rx for biaxin, amoxicillin, and omeprazole for 14 days. i got online and was horrified of the reviews. i delayed starting my meds. the first three days were hell on earth. nausea, fatigue, anxiety. i learned very quickly to eat with each dose. i had the metallic taste up until day 10 and then it went away. i'm wrapping up day 12, and while the treatment was tough in the beginning, it is doable. my gi is going to do an egd in 60 days. was also told to continue omeprazole x 2 months to heal ulcers and combat rebound reflux. feeling better!""",9
